Wed Sep  2 09:00:04 2020, Thursday, September 3, 2020, 7:30 AM - 8:30 AM, 1 
Wed Sep  2 09:00:04 2020, Thursday, September 3, 2020, 8:00 AM - 9:00 AM, 7 
Wed Sep  2 09:00:04 2020, Thursday, September 3, 2020, 8:30 AM - 9:30 AM, 19
Wed Sep  2 09:00:04 2020, Thursday, September 3, 2020, 9:00 AM - 10:00 AM, 27
Wed Sep  2 09:00:36 2020, Wednesday, September 2, 2020, 9:30 AM - 10:30 AM, 1 
Wed Sep  2 09:00:36 2020, Thursday, September 3, 2020, 7:30 AM - 8:30 AM, 1 
Wed Sep  2 09:00:36 2020, Thursday, September 3, 2020, 8:00 AM - 9:00 AM, 7 
Wed Sep  2 09:00:36 2020, Thursday, September 3, 2020, 8:30 AM - 9:30 AM, 19
Wed Sep  2 09:00:36 2020, Thursday, September 3, 2020, 9:00 AM - 10:00 AM, 17
Wed Sep  2 09:01:07 2020, Wednesday, September 2, 2020, 9:30 AM - 10:30 AM, 1 
Wed Sep  2 09:01:07 2020, Thursday, September 3, 2020, 7:30 AM - 8:30 AM, 1 
Wed Sep  2 09:01:07 2020, Thursday, September 3, 2020, 8:00 AM - 9:00 AM, 7 
Wed Sep  2 09:01:07 2020, Thursday, September 3, 2020, 8:30 AM - 9:30 AM, 19
Wed Sep  2 09:01:07 2020, Thursday, September 3, 2020, 9:00 AM - 10:00 AM, 15
Wed Sep  2 09:01:37 2020, Wednesday, September 2, 2020, 9:30 AM - 10:30 AM, 1 
Wed Sep  2 09:01:37 2020, Thursday, September 3, 2020, 8:00 AM - 9:00 AM, 7 
Wed Sep  2 09:01:37 2020, Thursday, September 3, 2020, 8:30 AM - 9:30 AM, 19
Wed Sep  2 09:01:37 2020, Thursday, September 3, 2020, 9:00 AM - 10:00 AM, 13
Wed Sep  2 09:02:08 2020, Wednesday, September 2, 2020, 9:30 AM - 10:30 AM, 1 
Wed Sep  2 09:02:08 2020, Thursday, September 3, 2020, 8:00 AM - 9:00 AM, 6 
Wed Sep  2 09:02:08 2020, Thursday, September 3, 2020, 8:30 AM - 9:30 AM, 19
Wed Sep  2 09:02:08 2020, Thursday, September 3, 2020, 9:00 AM - 10:00 AM, 12
Wed Sep  2 09:02:39 2020, Wednesday, September 2, 2020, 9:30 AM - 10:30 AM, 1 
Wed Sep  2 09:02:39 2020, Thursday, September 3, 2020, 8:00 AM - 9:00 AM, 6 
Wed Sep  2 09:02:39 2020, Thursday, September 3, 2020, 8:30 AM - 9:30 AM, 19
Wed Sep  2 09:02:39 2020, Thursday, September 3, 2020, 9:00 AM - 10:00 AM, 12
Wed Sep  2 09:03:10 2020, Thursday, September 3, 2020, 8:00 AM - 9:00 AM, 6 
Wed Sep  2 09:03:10 2020, Thursday, September 3, 2020, 8:30 AM - 9:30 AM, 19
Wed Sep  2 09:03:10 2020, Thursday, September 3, 2020, 9:00 AM - 10:00 AM, 12
Wed Sep  2 09:03:42 2020, Thursday, September 3, 2020, 8:00 AM - 9:00 AM, 6 
Wed Sep  2 09:03:42 2020, Thursday, September 3, 2020, 8:30 AM - 9:30 AM, 19
Wed Sep  2 09:03:42 2020, Thursday, September 3, 2020, 9:00 AM - 10:00 AM, 12
Wed Sep  2 09:04:13 2020, Thursday, September 3, 2020, 8:00 AM - 9:00 AM, 6 
Wed Sep  2 09:04:13 2020, Thursday, September 3, 2020, 8:30 AM - 9:30 AM, 19
Wed Sep  2 09:04:13 2020, Thursday, September 3, 2020, 9:00 AM - 10:00 AM, 12
Wed Sep  2 09:04:44 2020, Thursday, September 3, 2020, 8:00 AM - 9:00 AM, 6 
Wed Sep  2 09:04:44 2020, Thursday, September 3, 2020, 8:30 AM - 9:30 AM, 19
Wed Sep  2 09:04:44 2020, Thursday, September 3, 2020, 9:00 AM - 10:00 AM, 12
Wed Sep  2 09:05:15 2020, Thursday, September 3, 2020, 8:00 AM - 9:00 AM, 6 
Wed Sep  2 09:05:15 2020, Thursday, September 3, 2020, 8:30 AM - 9:30 AM, 19
Wed Sep  2 09:05:15 2020, Thursday, September 3, 2020, 9:00 AM - 10:00 AM, 12
Wed Sep  2 09:05:46 2020, Thursday, September 3, 2020, 8:00 AM - 9:00 AM, 6 
Wed Sep  2 09:05:46 2020, Thursday, September 3, 2020, 8:30 AM - 9:30 AM, 19
Wed Sep  2 09:05:46 2020, Thursday, September 3, 2020, 9:00 AM - 10:00 AM, 10
Wed Sep  2 09:06:17 2020, Thursday, September 3, 2020, 8:00 AM - 9:00 AM, 6 
Wed Sep  2 09:06:17 2020, Thursday, September 3, 2020, 8:30 AM - 9:30 AM, 19
Wed Sep  2 09:06:17 2020, Thursday, September 3, 2020, 9:00 AM - 10:00 AM, 9 
